short_name,nationality,overall,player_positions
L. Messi,Argentina,94,"RW, CF"
Cristiano Ronaldo,Portugal,93,"LW, LM"
A. Robben,Netherlands,90,"RM, LM, RW"
M. Neuer,Germany,90,GK
L. Suárez,Uruguay,90,ST
E. Hazard,Belgium,89,LM
Z. Ibrahimović,Sweden,89,ST
Neymar,Brazil,88,LW
Thiago Silva,Brazil,88,CB
David Silva,Spain,88,"CAM, LM"
J. Rodríguez,Colombia,87,"CAM, CM, RM"
G. Bale,Wales,87,"RM, RW"
T. Kroos,Germany,87,"CM, CDM"
J. Boateng,Germany,87,CB
R. Lewandowski,Poland,87,ST
M. Özil,Germany,87,"CAM, LW"
P. Lahm,Germany,87,"CDM, RB, CM"
G. Chiellini,Italy,87,CB
S. Agüero,Argentina,87,ST
Sergio Ramos,Spain,87,CB
F. Ribéry,France,87,LM
Cesc Fàbregas,Spain,87,"CM, CAM"
L. Modrić,Croatia,87,"CM, CDM"
P. Pogba,France,86,CM
T. Courtois,Belgium,86,GK
K. De Bruyne,Belgium,86,"CAM, LM, RM"
De Gea,Spain,86,GK
K. Benzema,France,86,ST
M. Hummels,Germany,86,CB
A. Sánchez,Chile,86,"LW, RW"
M. Reus,Germany,86,"LM, CAM"
Sergio Busquets,Spain,86,CDM
T. Müller,Germany,86,"CF, RM, CAM, ST"
Diego Costa,Spain,86,ST
W. Rooney,England,86,"ST, CM, CAM"
B. Schweinsteiger,Germany,86,"CM, CDM"
C. Tévez,Argentina,86,"ST, CF"
A. Vidal,Chile,86,"CM, CAM, CDM"
D. Alaba,Austria,85,"LB, CM, CB, CDM"
Piqué,Spain,85,CB
J. Terry,England,85,CB
Y. Touré,Ivory Coast,85,"CM, CDM"
P. Čech,Czech Republic,85,GK
V. Kompany,Belgium,85,CB
Santi Cazorla,Spain,85,"CAM, CM, LM"
H. Lloris,France,85,GK
Naldo,Brazil,85,CB
E. Cavani,Uruguay,85,"ST, LW, RW"
D. Godín,Uruguay,85,CB
A. Di María,Argentina,85,"CAM, CM, RM"
Isco,Spain,84,"CAM, CM, LM"
M. Verratti,Italy,84,"CM, CDM"
Oscar,Brazil,84,"CAM, RM"
Coutinho,Brazil,84,"CAM, LW, CM"
Jordi Alba,Spain,84,LB
M. Götze,Germany,84,"CAM, LM, CF, CM"
B. Leno,Germany,84,GK
A. Lacazette,France,84,"ST, RW"
J. Pastore,Argentina,84,"CM, LW, RW"
N. Matić,Serbia,84,CDM
G. Higuaín,Argentina,84,ST
M. Pjanić,Bosnia Herzegovina,84,CM
I. Rakitić,Croatia,84,"CM, CAM"
B. Matuidi,France,84,"CDM, CM"
Javi Martinez,Spain,84,"CB, CDM, CM"
G. Buffon,Italy,84,GK
Casillas,Spain,84,GK
A. Pirlo,Italy,84,"CM, CDM"
R. van Persie,Netherlands,84,ST
S. Gerrard,England,84,"CM, CDM, CAM"
Xabi Alonso,Spain,84,"CDM, CM"
Pepe,Portugal,84,CB
A. Barzagli,Italy,84,CB
W. Sneijder,Netherlands,84,CAM
Dani Alves,Brazil,84,RB
J. Hart,England,84,GK
Miranda,Brazil,84,CB
C. Marchisio,Italy,84,"CM, CDM"
M. Benatia,Morocco,84,CB
Juan Mata,Spain,84,"RM, CAM"
Hulk,Brazil,84,"RW, ST, RM"
N. Otamendi,Argentina,84,CB
J. Martínez,Colombia,84,ST
A. Griezmann,France,83,"ST, CAM, LM"
Thiago,Spain,83,"CM, CAM, CDM"
C. Eriksen,Denmark,83,"CAM, LM"
R. Rodriguez,Switzerland,83,LB
Koke,Spain,83,"CAM, LM, RM, CM"
A. Laporte,France,83,CB
D. Sturridge,England,83,"ST, RW"
Marcelo,Brazil,83,LB
R. Nainggolan,Belgium,83,CM
K. Bellarabi,Germany,83,"RM, RW, CF"
A. Turan,Turkey,83,"RM, LM"
S. Ruffier,France,83,GK
E. Garay,Argentina,83,CB
M. Hamšik,Slovakia,83,CAM
Sokratis,Greece,83,"CB, RB, LB"
B. Höwedes,Germany,83,"CB, RB, LB"
David Luiz,Brazil,83,CB
N. Gaitán,Argentina,83,LM
D. De Rossi,Italy,83,CDM
P. Mertesacker,Germany,83,CB
J. Mathieu,France,83,"CB, LB"
N. Vidić,Serbia,83,CB
J. Mascherano,Argentina,83,"CB, CDM"
João Moutinho,Portugal,83,"CAM, CDM"
S. Handanovič,Slovenia,83,GK
L. Baines,England,83,LB
S. Mandanda,France,83,GK
G. Cahill,England,83,CB
L. Koscielny,France,83,CB
S. Nasri,France,83,"LM, RM"
Diego Alves,Brazil,83,GK
Falcao,Colombia,83,ST
A. Candreva,Italy,83,RW
C. Bravo,Chile,83,GK
S. Khedira,Germany,83,"CDM, CM"
M. Mandžukić,Croatia,83,ST
L. Bonucci,Italy,83,CB
Luiz Gustavo,Brazil,83,CDM
Pedro,Spain,83,"LW, RW"
R. Varane,France,82,CB
M. ter Stegen,Germany,82,GK
R. Sterling,England,82,"LM, ST, RM"
S. Mustafi,Germany,82,CB
S. de Vrij,Netherlands,82,CB
C. Benteke,Belgium,82,ST
A. Ramsey,Wales,82,"CM, RW, CDM"
I. Gündoğan,Germany,82,"CM, CDM, CAM"
Alex Sandro,Brazil,82,LB
K. Manolas,Greece,82,CB
G. Krychowiak,Poland,82,CDM
Y. Konoplyanka,Ukraine,82,"LW, LM"
Roberto Firmino,Brazil,82,"CAM, CF"
C. Vela,Mexico,82,"RW, CAM, ST"
M. Schneiderlin,France,82,"CDM, CM"
Alex Teixeira,Brazil,82,"CAM, CDM, CM, CF"
K. Trapp,Germany,82,GK
Parejo,Spain,82,"CM, CAM, CDM"
M. Gonalons,France,82,"CDM, CB"
J. Cillessen,Netherlands,82,GK
Lucas,Brazil,82,"RW, RM"
L. Bender,Germany,82,"CDM, CM"
Y. Sommer,Switzerland,82,GK
Willian,Brazil,82,"RM, CAM"
Azpilicueta,Spain,82,LB
P. Aubameyang,Gabon,82,"ST, RM, RW"
K. Glik,Poland,82,CB
Nani,Portugal,82,"LM, RM"
R. Eremenko,Finland,82,"CAM, LM, CDM, CM"
D. Mertens,Belgium,82,"CAM, LW"
S. Kagawa,Japan,82,"CAM, LM, CF"
Danny,Portugal,82,"CAM, LW"
Júlio César,Brazil,82,GK
Aduriz,Spain,82,ST
Victor Valdés,Spain,82,GK
S. Lichtsteiner,Switzerland,82,"RB, RM"
J. Toulalan,France,82,CDM
P. Zabaleta,Argentina,82,RB
Diego López,Spain,82,GK
Luisão,Brazil,82,CB
K. Huntelaar,Netherlands,82,ST
L. Biglia,Argentina,82,"CDM, CM"
L. Perrin,France,82,CB
Borja Valero,Spain,82,CM
Filipe Luís,Brazil,82,LB
S. Sirigu,Italy,82,GK
Leandro Castán,Brazil,82,CB
A. Begović,Bosnia Herzegovina,82,GK
J. Vertonghen,Belgium,82,"CB, LB"
Jonas,Brazil,82,ST
F. Muslera,Uruguay,82,GK
J. Cuadrado,Colombia,82,"RM, ST, LM"
Nolito,Spain,82,"LW, LM"
C. Bacca,Colombia,82,ST
M. Depay,Netherlands,81,"LW, CAM"
M. Perin,Italy,81,GK
Morata,Spain,81,ST
William Carvalho,Portugal,81,"CDM, CM"
M. Musacchio,Argentina,81,CB
Marquinhos,Brazil,81,"CB, RB"
N. Nkoulou,Cameroon,81,CB
R. Pereyra,Argentina,81,"CAM, CM"
L. Insigne,Italy,81,"CAM, CF"
A. Lopes,Portugal,81,GK
J. Oblak,Slovenia,81,GK
S. Kjær,Denmark,81,CB
M. Darmian,Italy,81,"RB, RWB, LWB"
S. Feghouli,Algeria,81,"RW, RM"
N. Clyne,England,81,RB
Douglas Costa,Brazil,81,"RM, LM, CAM"
G. Xhaka,Switzerland,81,"CM, CAM"
S. Savić,Montenegro,81,CB
Carvajal,Spain,81,RB
Bojan,Spain,81,"CAM, ST, RW"
A. Witsel,Belgium,81,"CM, CDM"
Rui Patrício,Portugal,81,GK
E. Banega,Argentina,81,CAM
T. Alderweireld,Belgium,81,"CB, CDM, RB"
Camacho,Spain,81,"CDM, CM"
J. Wilshere,England,81,"CM, CDM"
W. Bony,Ivory Coast,81,ST
Ander Herrera,Spain,81,"CM, CAM"
